Case ID,Activity,Complete Timestamp
1-109135791,Queued-Awaiting Assignment,49:42.0
1-109135791,Accepted-In Progress,53:52.0
1-109135791,Accepted-Assigned,56:17.0
1-109135791,Accepted-In Progress,09:05.0
1-109135791,Completed-Closed,11:33.0
1-147898401,Accepted-In Progress,00:36.0
1-147898401,Accepted-In Progress,05:44.0
1-147898401,Accepted-Wait,24:32.0
1-147898401,Accepted-In Progress,09:09.0
1-147898401,Accepted-In Progress,23:24.0
1-147898401,Completed-Closed,23:27.0
1-165554831,Accepted-In Progress,10:53.0
1-165554831,Accepted-In Progress,52:41.0
1-165554831,Completed-Closed,52:43.0
1-165554831,Accepted-Wait,24:31.0
1-165554831,Accepted-In Progress,06:25.0
1-172473423,Accepted-In Progress,21:54.0
1-172473423,Accepted-Wait,24:33.0
1-172473423,Accepted-In Progress,10:59.0
1-172473423,Accepted-In Progress,20:53.0
1-172473423,Completed-Closed,21:10.0
1-182640781,Accepted-In Progress,30:35.0
1-182640781,Accepted-Wait,24:32.0
1-182640781,Queued-Awaiting Assignment,13:01.0
1-182640781,Accepted-In Progress,24:13.0
1-182640781,Accepted-Assigned,10:25.0
1-182640781,Accepted-In Progress,21:05.0
1-182640781,Completed-Closed,31:53.0
1-230541365,Accepted-In Progress,58:51.0
1-230541365,Accepted-In Progress,44:37.0
1-230541365,Accepted-Wait,24:34.0
1-230541365,Accepted-In Progress,27:50.0
1-230541365,Accepted-In Progress,27:55.0
1-230541365,Accepted-In Progress,53:32.0
1-230541365,Completed-Closed,53:35.0
1-236817141,Accepted-Wait,24:34.0
1-236817141,Queued-Awaiting Assignment,06:45.0
1-236817141,Accepted-In Progress,02:11.0
1-236817141,Completed-Closed,09:00.0
1-236817141,Accepted-In Progress,02:18.0
1-236817141,Accepted-Assigned,09:27.0
1-236817141,Accepted-In Progress,08:18.0
1-270399977,Accepted-In Progress,43:32.0
1-270399977,Accepted-In Progress,56:24.0
1-270399977,Accepted-In Progress,12:05.0
1-270399977,Queued-Awaiting Assignment,52:16.0
1-270399977,Accepted-In Progress,09:17.0
1-270399977,Queued-Awaiting Assignment,09:43.0
1-270399977,Accepted-In Progress,10:10.0
1-270399977,Completed-Closed,26:32.0
1-270427461,Completed-Closed,19:21.0
1-270427461,Accepted-In Progress,17:14.0
1-270427461,Accepted-Wait,24:35.0
1-270427461,Accepted-In Progress,57:27.0
1-270427461,Accepted-In Progress,01:04.0
1-310231291,Accepted-In Progress,47:52.0
1-310231291,Accepted-In Progress,10:36.0
1-310231291,Completed-Closed,12:08.0
1-316086072,Accepted-Assigned,01:25.0
1-316086072,Accepted-In Progress,00:32.0
1-316086072,Completed-Closed,57:21.0
1-316086072,Queued-Awaiting Assignment,55:12.0
1-316086072,Accepted-In Progress,01:20.0
1-316086072,Accepted-In Progress,44:51.0
1-316086072,Queued-Awaiting Assignment,35:53.0
1-316086072,Accepted-Wait,40:28.0
1-316086072,Queued-Awaiting Assignment,41:00.0
1-320604521,Accepted-In Progress,33:24.0
1-320604521,Unmatched-Unmatched,37:50.0
1-320604521,Completed-Closed,21:43.0
1-322204195,Accepted-Wait,02:19.0
1-322204195,Completed-Closed,03:31.0
1-322204195,Accepted-Wait,10:24.0
1-322204195,Accepted-In Progress,05:58.0
1-322204195,Accepted-In Progress,09:14.0
1-322204195,Queued-Awaiting Assignment,09:22.0
1-322204195,Accepted-Wait,26:30.0
1-322204195,Queued-Awaiting Assignment,11:51.0
1-322204195,Accepted-In Progress,26:19.0
1-322204195,Queued-Awaiting Assignment,42:12.0
1-322581861,Accepted-In Progress,50:02.0
1-322581861,Unmatched-Unmatched,07:38.0
1-322581861,Completed-Closed,53:35.0
1-322980802,Completed-Closed,22:11.0
1-322980802,Accepted-In Progress,13:43.0
1-323264491,Accepted-In Progress,22:05.0
1-323264491,Accepted-Assigned,25:17.0
1-323264491,Completed-Closed,57:49.0
1-323462732,Accepted-In Progress,20:48.0
1-323462732,Accepted-In Progress,01:14.0
1-323462732,Accepted-Assigned,05:44.0
1-323462732,Accepted-In Progress,00:47.0
1-323462732,Completed-Closed,01:38.0
1-323462732,Accepted-Assigned,35:55.0
1-323462732,Accepted-In Progress,36:20.0
1-323462732,Accepted-Assigned,00:17.0
1-323462732,Accepted-In Progress,52:27.0
1-327329880,Accepted-In Progress,12:54.0
1-327329880,Accepted-Wait,24:37.0
1-327329880,Accepted-In Progress,22:08.0
1-327329880,Accepted-In Progress,46:54.0
1-327329880,Completed-Closed,46:57.0
1-329451027,Accepted-Wait,21:27.0
1-329451027,Accepted-In Progress,53:50.0
1-329451027,Completed-Closed,53:53.0
1-329451027,Accepted-Assigned,10:20.0
1-329451027,Accepted-Assigned,11:48.0
1-329451027,Accepted-Wait,46:18.0
1-329451027,Unmatched-Unmatched,57:26.0
1-329451027,Queued-Awaiting Assignment,44:22.0
1-329451027,Accepted-In Progress,46:10.0
1-329451027,Accepted-Wait,47:10.0
1-329647261,Accepted-Wait,42:49.0
1-329647261,Accepted-In Progress,04:11.0
1-329647261,Accepted-Wait,32:03.0
1-329647261,Accepted-In Progress,42:40.0
1-329647261,Completed-Closed,55:41.0
1-329647261,Queued-Awaiting Assignment,43:43.0
1-329647261,Accepted-In Progress,44:26.0
1-329647261,Accepted-Assigned,12:04.0
1-329647261,Accepted-Wait,55:39.0
1-330634474,Accepted-In Progress,49:04.0
1-330634474,Accepted-Assigned,57:13.0
1-330634474,Queued-Awaiting Assignment,43:50.0
1-330634474,Accepted-In Progress,45:25.0
1-330634474,Accepted-Wait,45:37.0
1-330634474,Completed-Closed,54:30.0
1-331478885,Accepted-Assigned,39:59.0
1-331478885,Accepted-In Progress,18:59.0
1-331478885,Completed-Closed,19:30.0
1-331478885,Accepted-Assigned,52:18.0
1-331478885,Accepted-In Progress,51:55.0
1-331478885,Accepted-In Progress,07:28.0
1-331478885,Accepted-Assigned,04:58.0
1-332389008,Queued-Awaiting Assignment,38:14.0
1-332389008,Accepted-In Progress,41:50.0
1-332389008,Accepted-Wait,45:16.0
1-332389008,Accepted-In Progress,52:46.0
1-332389008,Accepted-Wait,53:26.0
1-332389008,Completed-Closed,41:36.0
1-333164156,Accepted-Assigned,55:04.0
1-333164156,Accepted-Wait,13:42.0
1-333164156,Completed-Closed,45:20.0
1-333164156,Accepted-In Progress,07:30.0
1-333164156,Accepted-Assigned,25:33.0
1-333164156,Queued-Awaiting Assignment,24:43.0
1-333164156,Accepted-Assigned,10:22.0
1-333164156,Queued-Awaiting Assignment,22:19.0
1-333164156,Accepted-In Progress,33:52.0
1-333164156,Accepted-In Progress,41:27.0
1-333164156,Accepted-In Progress,45:16.0
1-333164156,Queued-Awaiting Assignment,49:04.0
1-333164156,Accepted-In Progress,24:01.0
1-335260940,Accepted-In Progress,44:43.0
1-335260940,Queued-Awaiting Assignment,45:01.0
1-335260940,Accepted-In Progress,40:26.0
1-335260940,Unmatched-Unmatched,40:36.0
1-335260940,Completed-Closed,26:41.0
1-337229341,Accepted-In Progress,22:00.0
1-337229341,Accepted-Assigned,52:49.0
1-337229341,Completed-Closed,22:21.0
1-337229341,Unmatched-Unmatched,10:14.0
1-338946805,Accepted-In Progress,29:17.0
1-338946805,Accepted-In Progress,32:43.0
1-338946805,Completed-Closed,33:57.0
1-339798202,Accepted-In Progress,59:24.0
1-339798202,Accepted-In Progress,21:25.0
1-339798202,Completed-Closed,21:47.0
1-339889001,Accepted-In Progress,04:51.0
1-339889001,Accepted-In Progress,47:26.0
1-339889001,Completed-Closed,07:29.0
1-340984229,Unmatched-Unmatched,25:22.0
1-340984229,Completed-Closed,38:06.0
1-340984229,Accepted-In Progress,09:31.0
1-341002175,Accepted-Wait,56:03.0
1-341002175,Accepted-In Progress,39:50.0
1-341002175,Completed-Closed,40:25.0
1-342442140,Accepted-In Progress,42:20.0
1-342442140,Completed-Closed,14:00.0
1-345132462,Accepted-In Progress,24:17.0
1-345132462,Accepted-Wait,43:29.0
1-345132462,Accepted-Assigned,20:05.0
1-345132462,Accepted-Wait,33:08.0
1-345132462,Accepted-In Progress,17:47.0
1-345132462,Accepted-In Progress,34:54.0
1-345132462,Completed-Closed,24:59.0
1-345255471,Accepted-In Progress,02:21.0
1-345255471,Queued-Awaiting Assignment,10:22.0
1-345255471,Queued-Awaiting Assignment,06:05.0
1-345255471,Accepted-In Progress,11:21.0
1-345255471,Completed-Closed,14:29.0
1-347461373,Accepted-In Progress,38:17.0
1-347461373,Completed-Closed,39:02.0
1-347461373,Accepted-In Progress,42:26.0
1-347923966,Completed-Closed,39:49.0
1-347923966,Accepted-In Progress,39:46.0
1-347923966,Accepted-Assigned,54:25.0
1-347923966,Accepted-In Progress,19:08.0
1-347923966,Accepted-Assigned,41:12.0
1-347923966,Accepted-In Progress,54:09.0
1-347924629,Accepted-Assigned,26:27.0
1-347924629,Accepted-Wait,09:18.0
1-347924629,Accepted-In Progress,44:36.0
1-347924629,Completed-Closed,24:18.0
1-349857482,Accepted-In Progress,58:09.0
1-349857482,Completed-Closed,20:13.0
1-351187625,Accepted-In Progress,39:33.0
1-351187625,Accepted-In Progress,50:20.0
1-351187625,Completed-Closed,40:09.0
1-351314317,Completed-Closed,13:02.0
1-351314317,Accepted-Assigned,40:58.0
1-351314317,Accepted-In Progress,25:19.0
1-351314317,Accepted-In Progress,40:51.0
1-351314317,Accepted-In Progress,34:32.0
1-351314317,Queued-Awaiting Assignment,45:18.0
1-351869391,Accepted-In Progress,00:12.0
1-351869391,Accepted-In Progress,34:50.0
1-351869391,Completed-Closed,37:00.0
1-353818791,Accepted-In Progress,11:03.0
1-353818791,Completed-Closed,41:41.0
1-353818791,Accepted-In Progress,01:08.0
1-353818791,Queued-Awaiting Assignment,00:54.0
1-353818791,Queued-Awaiting Assignment,15:39.0
1-354039443,Accepted-In Progress,41:51.0
1-354039443,Accepted-In Progress,48:52.0
1-354039443,Accepted-Assigned,10:30.0
1-354039443,Accepted-In Progress,05:47.0
1-354039443,Completed-Closed,29:51.0
1-354090772,Accepted-Wait,55:49.0
1-354090772,Accepted-Assigned,08:44.0
1-354090772,Accepted-Wait,11:18.0
1-354090772,Completed-Closed,56:20.0
1-354090772,Accepted-Assigned,48:47.0
1-354090772,Accepted-In Progress,07:11.0
1-354090772,Accepted-Wait,34:41.0
1-354090772,Accepted-Assigned,07:48.0
1-354090772,Accepted-In Progress,33:11.0
1-354090772,Queued-Awaiting Assignment,01:04.0
1-354090772,Accepted-In Progress,59:28.0
1-354350908,Accepted-Wait,03:41.0
1-354350908,Accepted-In Progress,16:31.0
1-354350908,Accepted-In Progress,40:03.0
1-354350908,Completed-Closed,40:20.0
