,Case ID,Activity,Complete Timestamp
0,2,1,2012-04-03 16:55:38
1,2,8,2012-04-03 16:55:53
2,2,6,2012-04-05 17:15:52
3,3,1,2010-10-29 18:14:06
4,3,8,2010-11-04 01:16:11
5,3,6,2010-11-04 01:21:17
6,4,1,2010-12-15 23:31:53
7,4,8,2010-12-16 17:01:07
8,4,6,2010-12-16 17:08:19
13,5,1,2012-04-03 21:08:32
11,5,8,2012-04-03 21:45:33
12,5,6,2012-04-03 21:47:22
9,5,8,2012-04-03 22:15:02
10,5,6,2012-04-04 00:07:28
14,6,1,2011-10-25 23:13:58
15,6,8,2011-10-25 23:58:55
16,6,6,2011-10-26 17:54:46
17,8,1,2012-07-05 16:30:32
18,8,8,2012-07-05 17:25:45
19,8,6,2012-07-05 17:44:46
23,9,6,2010-05-25 23:35:44
20,9,3,2010-05-07 21:02:21
21,9,1,2010-05-07 21:02:34
22,9,8,2010-05-24 18:26:28
26,10,6,2010-03-19 17:47:13
25,10,8,2010-03-19 17:47:06
24,10,1,2010-02-10 17:50:20
27,11,1,2011-12-22 00:24:41
28,11,8,2011-12-22 00:25:34
29,11,6,2011-12-22 18:55:43
30,14,1,2011-07-05 21:47:08
31,14,8,2011-07-05 21:47:22
32,14,6,2011-07-05 21:52:37
33,16,1,2012-02-22 23:16:52
34,16,8,2012-02-23 01:14:07
35,16,8,2012-02-23 01:23:57
36,16,6,2012-02-23 18:47:38
39,17,6,2011-11-09 22:31:37
38,17,8,2011-11-03 01:17:52
37,17,1,2011-10-14 15:10:47
40,19,1,2010-07-07 15:54:04
41,19,8,2010-07-09 18:10:52
42,19,6,2010-07-09 18:11:18
43,21,1,2011-01-15 00:15:21
44,21,8,2011-01-27 17:06:37
45,21,6,2011-01-27 19:19:15
46,22,1,2012-07-23 15:49:04
47,22,8,2012-07-23 15:49:14
48,22,9,2012-07-23 16:51:59
49,22,6,2012-08-27 18:05:23
51,24,6,2010-06-08 22:46:16
52,24,1,2010-04-27 17:49:56
50,24,8,2010-06-08 19:06:56
53,25,1,2010-12-30 18:27:17
54,25,8,2010-12-30 22:14:04
55,25,6,2010-12-31 00:16:35
56,26,1,2011-03-31 15:28:47
57,26,8,2011-03-31 15:31:59
58,26,9,2011-03-31 16:39:41
59,26,8,2011-03-31 19:00:28
60,26,6,2011-03-31 19:00:41
63,27,8,2011-11-24 23:02:35
61,27,6,2011-12-12 18:04:47
62,27,1,2011-11-24 23:02:16
65,29,6,2012-07-30 20:29:40
66,29,1,2012-07-30 18:07:32
64,29,8,2012-07-30 18:07:40
67,30,1,2011-01-21 18:47:20
68,30,8,2011-02-07 18:19:45
69,30,6,2011-02-10 18:01:20
70,32,1,2011-04-27 15:38:44
71,32,8,2011-04-27 20:46:13
72,32,6,2011-04-28 16:18:08
74,35,6,2012-01-18 18:46:37
73,35,1,2012-01-18 17:15:30
77,36,6,2011-07-05 15:32:43
76,36,8,2011-06-30 20:58:23
75,36,1,2011-06-29 18:06:48
83,37,8,2011-03-02 22:24:07
84,37,8,2011-03-04 18:37:50
85,37,9,2011-03-03 00:27:52
82,37,6,2011-03-04 18:37:55
78,37,6,2011-03-02 22:23:58
80,37,1,2011-02-10 20:13:07
79,37,8,2011-02-10 20:13:33
81,37,6,2011-02-11 00:20:02
86,38,1,2012-03-20 16:57:45
87,38,8,2012-03-20 16:58:15
88,38,6,2012-03-20 17:18:56
89,40,1,2012-08-09 20:13:03
90,40,8,2012-08-09 20:13:29
91,40,6,2012-08-09 20:46:00
94,41,8,2010-12-14 19:44:57
92,41,6,2010-12-14 19:45:12
93,41,1,2010-12-14 19:44:26
95,42,1,2011-06-16 20:23:39
96,42,8,2011-06-16 20:51:05
97,42,6,2011-06-16 21:39:51
100,43,8,2012-04-10 17:27:27
98,43,6,2012-04-10 18:53:28
99,43,1,2012-04-10 16:56:32
102,44,6,2010-11-30 01:20:51
103,44,1,2010-11-30 01:09:19
101,44,8,2010-11-30 01:19:59
105,45,6,2012-03-02 19:40:59
106,45,1,2012-01-20 23:08:14
104,45,8,2012-01-25 20:46:19
107,47,1,2011-05-25 17:48:18
108,47,8,2011-05-25 17:48:43
109,47,6,2011-05-30 23:04:34
110,48,3,2010-12-01 22:42:59
111,48,1,2010-12-02 23:07:33
112,48,8,2010-12-02 23:07:41
113,48,6,2010-12-02 23:08:33
117,49,6,2011-12-03 01:25:57
114,49,1,2011-11-25 23:33:54
115,49,8,2011-11-25 23:47:48
116,49,9,2011-11-29 23:47:35
121,50,6,2012-01-17 01:37:55
120,50,6,2012-01-17 01:37:54
118,50,1,2012-01-16 19:53:01
119,50,8,2012-01-16 19:59:51
122,51,1,2012-06-13 21:55:36
123,51,8,2012-06-14 15:07:06
124,51,9,2012-06-15 15:16:27
125,51,6,2012-07-02 17:41:04
127,52,8,2012-07-26 23:18:35
126,52,1,2012-07-26 23:18:26
128,52,6,2012-07-27 18:46:28
133,53,8,2010-10-29 21:42:01
134,53,6,2010-11-04 17:48:12
132,53,9,2010-10-28 23:12:55
131,53,9,2010-10-28 23:12:55
130,53,8,2010-10-15 21:02:36
129,53,1,2010-10-14 21:53:13
135,55,1,2011-10-26 23:51:42
136,55,8,2011-11-01 00:19:03
137,55,9,2011-11-07 17:44:52
138,55,6,2011-11-21 17:21:23
139,56,1,2012-01-30 20:32:58
140,56,6,2012-01-30 20:33:23
141,57,1,2010-10-29 17:39:23
142,57,8,2010-11-02 23:56:13
143,57,6,2010-11-03 00:39:05
147,59,6,2012-03-28 23:32:57
146,59,6,2012-03-28 23:32:57
145,59,8,2012-03-28 20:28:47
144,59,1,2012-03-28 20:28:37
148,60,1,2011-04-06 23:35:49
149,60,8,2011-04-06 23:36:04
150,60,9,2011-04-07 23:41:23
151,60,8,2011-04-13 16:49:14
152,60,6,2011-04-13 16:49:22
153,61,1,2011-09-16 15:04:39
154,61,8,2011-09-16 15:18:12
155,61,6,2011-09-16 23:04:46
156,62,1,2012-05-28 23:16:47
157,62,6,2012-05-28 23:18:27
159,64,8,2011-04-27 18:30:04
163,64,9,2011-04-27 18:30:13
164,64,1,2011-04-14 23:54:46
162,64,9,2011-04-15 18:41:19
158,64,6,2011-05-06 17:42:28
160,64,1,2011-04-14 23:54:28
161,64,8,2011-05-06 17:42:13
165,66,1,2012-06-26 16:46:53
166,66,8,2012-06-26 16:47:39
167,66,6,2012-06-26 21:05:58
168,67,1,2010-12-31 00:03:15
169,67,8,2011-01-11 17:40:08
170,67,6,2011-01-13 20:45:18
171,68,1,2012-04-11 22:09:22
172,68,8,2012-04-11 22:09:45
173,68,6,2012-04-12 18:31:37
177,70,6,2011-07-12 15:00:36
176,70,9,2011-07-08 16:44:58
174,70,1,2011-06-07 15:34:53
175,70,8,2011-06-07 15:35:14
178,71,1,2011-11-02 17:20:14
179,71,8,2011-11-02 17:20:41
180,71,6,2011-11-02 18:49:41
181,72,1,2011-01-25 22:15:31
182,72,8,2011-01-25 22:15:58
183,72,6,2011-02-14 20:48:42
184,73,1,2012-07-31 19:01:15
185,73,6,2012-07-31 19:02:02
186,74,6,2012-02-10 20:42:26
187,75,1,2010-03-12 00:15:54
188,75,1,2010-04-23 15:44:51
189,75,8,2010-04-23 15:44:59
190,75,6,2010-04-23 15:45:04
191,76,1,2012-01-11 00:01:36
192,76,6,2012-01-11 00:58:08
193,78,1,2011-11-08 18:18:10
194,78,8,2011-11-08 18:22:35
195,78,6,2011-12-06 01:33:12
197,80,6,2012-08-10 18:13:48
198,80,1,2012-08-02 17:22:58
196,80,8,2012-08-03 20:12:15
199,81,1,2010-02-09 17:31:47
200,81,8,2010-02-09 17:35:12
201,81,9,2010-02-09 17:35:26
202,81,9,2010-02-09 17:36:27
203,81,8,2010-02-19 17:31:40
204,81,6,2010-02-19 17:32:00
205,84,1,2010-12-10 18:15:54
206,84,8,2010-12-10 18:16:17
207,84,6,2010-12-10 18:16:34
209,85,8,2011-02-25 02:03:45
208,85,1,2011-02-25 02:01:50
210,85,6,2011-03-04 19:02:13
214,86,6,2012-06-18 17:42:02
213,86,9,2012-06-15 18:00:52
212,86,8,2012-06-15 15:27:33
211,86,1,2012-06-13 00:12:48
215,87,1,2011-11-14 23:35:55
216,87,8,2011-11-18 01:58:30
217,87,9,2011-11-18 01:59:03
218,87,6,2011-11-25 18:30:07
219,87,8,2011-11-28 22:50:35
220,87,9,2011-11-28 22:59:00
221,87,6,2011-12-07 22:41:18
225,88,8,2010-10-04 18:48:54
224,88,6,2010-10-04 18:49:08
226,88,1,2010-09-24 21:43:51
222,88,1,2010-09-24 15:57:49
223,88,9,2010-09-24 21:44:52
227,90,1,2010-03-16 16:59:03
228,90,8,2010-03-17 18:02:03
