Activity,Timestamp,Case ID
a_0,2022-04-20 12:52:00,trace0
a_1,2022-04-20 12:52:00,trace0
a_2,2022-04-20 12:52:00,trace0
a_5,2022-04-20 12:52:00,trace0
a_6,2022-04-20 12:52:00,trace0
a_1,2022-04-20 12:52:00,trace1
a_2,2022-04-20 12:52:00,trace1
a_0,2022-04-20 12:52:00,trace1
a_3,2022-04-20 12:52:00,trace1
a_4,2022-04-20 12:52:00,trace1
a_1,2022-04-20 12:52:00,trace10
a_2,2022-04-20 12:52:00,trace10
a_0,2022-04-20 12:52:00,trace10
a_3,2022-04-20 12:52:00,trace10
a_4,2022-04-20 12:52:00,trace10
a_9,2022-04-20 12:52:00,trace10
a_12,2022-04-20 12:52:00,trace10
a_11,2022-04-20 12:52:00,trace10
a_16,2022-04-20 12:52:00,trace10
a_10,2022-04-20 12:52:00,trace10
a_17,2022-04-20 12:52:00,trace10
a_14,2022-04-20 12:52:00,trace10
a_15,2022-04-20 12:52:00,trace10
a_13,2022-04-20 12:52:00,trace10
a_1,2022-04-20 12:52:00,trace10
a_2,2022-04-20 12:52:00,trace10
a_0,2022-04-20 12:52:00,trace10
a_5,2022-04-20 12:52:00,trace10
a_6,2022-04-20 12:52:00,trace10
a_7,2022-04-20 12:52:00,trace10
a_8,2022-04-20 12:52:00,trace10
a_3,2022-04-20 12:52:00,trace10
a_4,2022-04-20 12:52:00,trace10
a_7,2022-04-20 12:52:00,trace10
a_8,2022-04-20 12:52:00,trace10
a_5,2022-04-20 12:52:00,trace10
a_6,2022-04-20 12:52:00,trace10
a_1,2022-04-20 12:52:00,trace100
a_2,2022-04-20 12:52:00,trace100
a_0,2022-04-20 12:52:00,trace100
a_3,2022-04-20 12:52:00,trace100
a_4,2022-04-20 12:52:00,trace100
a_1,2022-04-20 12:52:00,trace101
a_0,2022-04-20 12:52:00,trace101
a_2,2022-04-20 12:52:00,trace101
a_3,2022-04-20 12:52:00,trace101
a_4,2022-04-20 12:52:00,trace101
a_7,2022-04-20 12:52:00,trace101
a_8,2022-04-20 12:52:00,trace101
a_5,2022-04-20 12:52:00,trace101
a_6,2022-04-20 12:52:00,trace101
a_1,2022-04-20 12:52:00,trace102
a_0,2022-04-20 12:52:00,trace102
a_2,2022-04-20 12:52:00,trace102
a_5,2022-04-20 12:52:00,trace102
a_6,2022-04-20 12:52:00,trace102
a_7,2022-04-20 12:52:00,trace102
a_8,2022-04-20 12:52:00,trace102
a_5,2022-04-20 12:52:00,trace102
a_6,2022-04-20 12:52:00,trace102
a_7,2022-04-20 12:52:00,trace102
a_8,2022-04-20 12:52:00,trace102
a_3,2022-04-20 12:52:00,trace102
a_4,2022-04-20 12:52:00,trace102
a_16,2022-04-20 12:52:00,trace102
a_17,2022-04-20 12:52:00,trace102
a_14,2022-04-20 12:52:00,trace102
a_15,2022-04-20 12:52:00,trace102
a_12,2022-04-20 12:52:00,trace102
a_11,2022-04-20 12:52:00,trace102
a_9,2022-04-20 12:52:00,trace102
a_10,2022-04-20 12:52:00,trace102
a_13,2022-04-20 12:52:00,trace102
a_1,2022-04-20 12:52:00,trace102
a_2,2022-04-20 12:52:00,trace102
a_0,2022-04-20 12:52:00,trace102
a_3,2022-04-20 12:52:00,trace102
a_4,2022-04-20 12:52:00,trace102
a_12,2022-04-20 12:52:00,trace102
a_18,2022-04-20 12:52:00,trace102
a_13,2022-04-20 12:52:00,trace102
a_10,2022-04-20 12:52:00,trace102
a_19,2022-04-20 12:52:00,trace102
a_9,2022-04-20 12:52:00,trace102
