org:resource,Activity,lifecycle:transition,Timestamp,Case ID
NONE,t1,complete,2022-05-27 16:01:44,trace_15
NONE,t2,complete,2022-05-27 17:01:44,trace_15
NONE,t4,complete,2022-05-27 18:01:44,trace_15
NONE,t40,complete,2022-05-27 19:01:44,trace_15
NONE,t42,complete,2022-05-27 20:01:44,trace_15
NONE,t44,complete,2022-05-27 21:01:44,trace_15
NONE,t1,complete,2022-05-23 11:01:44,trace_0
NONE,t2,complete,2022-05-23 12:01:44,trace_0
NONE,t4,complete,2022-05-23 13:01:44,trace_0
NONE,t5,complete,2022-05-23 14:01:44,trace_0
NONE,t9,complete,2022-05-23 15:01:44,trace_0
NONE,t10,complete,2022-05-23 16:01:44,trace_0
NONE,t27,complete,2022-05-23 17:01:44,trace_0
NONE,t1,complete,2022-05-27 09:01:44,trace_14
NONE,t2,complete,2022-05-27 10:01:44,trace_14
NONE,t4,complete,2022-05-27 11:01:44,trace_14
NONE,t5,complete,2022-05-27 12:01:44,trace_14
NONE,t9,complete,2022-05-27 13:01:44,trace_14
NONE,t10,complete,2022-05-27 14:01:44,trace_14
NONE,t27,complete,2022-05-27 15:01:44,trace_14
NONE,t1,complete,2022-06-07 19:01:44,trace_55
NONE,t2,complete,2022-06-07 20:01:44,trace_55
NONE,t4,complete,2022-06-07 21:01:44,trace_55
NONE,t5,complete,2022-06-07 22:01:44,trace_55
NONE,t9,complete,2022-06-07 23:01:44,trace_55
NONE,t10,complete,2022-06-08 00:01:44,trace_55
NONE,t27,complete,2022-06-08 01:01:44,trace_55
NONE,t1,complete,2022-05-24 13:01:44,trace_4
NONE,t2,complete,2022-05-24 14:01:44,trace_4
NONE,t4,complete,2022-05-24 15:01:44,trace_4
NONE,t5,complete,2022-05-24 16:01:44,trace_4
NONE,t9,complete,2022-05-24 17:01:44,trace_4
NONE,t11,complete,2022-05-24 18:01:44,trace_4
NONE,t27,complete,2022-05-24 19:01:44,trace_4
NONE,t1,complete,2022-06-04 23:01:44,trace_45
NONE,t2,complete,2022-06-05 00:01:44,trace_45
NONE,t4,complete,2022-06-05 01:01:44,trace_45
NONE,t6,complete,2022-06-05 02:01:44,trace_45
NONE,t13,complete,2022-06-05 03:01:44,trace_45
NONE,t15,complete,2022-06-05 04:01:44,trace_45
NONE,t16,complete,2022-06-05 05:01:44,trace_45
NONE,t1,complete,2022-06-02 23:01:44,trace_38
NONE,t2,complete,2022-06-03 00:01:44,trace_38
NONE,t4,complete,2022-06-03 01:01:44,trace_38
NONE,t6,complete,2022-06-03 02:01:44,trace_38
NONE,t13,complete,2022-06-03 03:01:44,trace_38
NONE,t15,complete,2022-06-03 04:01:44,trace_38
